source,source_id,raw_id,title,title_stem,author,license_raw,license_normalized,license_display,url,genre_tier1,genre_tier2,primary_pool,candidate_pools,auto_label_score,auto_label_confidence,auto_label_bucket,matched_keywords
freesound,454,454,unusual synthetic drone.wav,unusual synthetic drone,oyenstikker,sampling+,sampling+,CC-Sampling+,https://freesound.org/people/oyenstikker/sounds/454/,Ambient/Drone,Ambient/Drone,Freesound-CC-Sampling+-Ambient/Drone,"[""Freesound-CC-Sampling+-Ambient/Drone"", ""Freesound-CC-Sampling+-Electronic""]",6,0.8488,high,"{""Ambient/Drone"": [""drone""], ""Electronic"": [""synth""]}"
freesound,2193,2193,acoustic bassline 001.mp3,acoustic bassline 001,Matthew Lefevre,sampling+,sampling+,CC-Sampling+,https://freesound.org/people/Matthew Lefevre/sounds/2193/,Electronic,Electronic,Freesound-CC-Sampling+-Electronic,"[""Freesound-CC-Sampling+-Electronic"", ""Freesound-CC-Sampling+-Acoustic/Folk""]",6,0.7208,high,"{""Electronic"": [""bassline""], ""Acoustic/Folk"": [""acoustic""]}"
freesound,2223,2223,drone.wav,drone,Andrew Duke,ccby,cc-by,CC-BY,https://freesound.org/people/Andrew Duke/sounds/2223/,Ambient/Drone,Ambient/Drone,Freesound-CC-BY-Ambient/Drone,"[""Freesound-CC-BY-Ambient/Drone""]",6,1.0000,high,"{""Ambient/Drone"": [""drone""]}"
freesound,2263,2263,residential_ambience_birds_air_loop_mono.wav,residential_ambience_birds_air_loop_mono,Fun,sampling+,sampling+,CC-Sampling+,https://freesound.org/people/Fun/sounds/2263/,Field Recording,Field Recording,Freesound-CC-Sampling+-Field Recording,"[""Freesound-CC-Sampling+-Field Recording"", ""Freesound-CC-Sampling+-Percussion/Drums""]",5,0.8217,high,"{""Field Recording"": [""ambience"", ""bird"", ""birds""], ""Percussion/Drums"": [""loop""]}"
freesound,2264,2264,90 bpm ATTACK LOOP 3 drums mixdown mastered 16 bit.wav,90 bpm ATTACK LOOP 3 drums mixdown mastered 16 bit,Jovica,ccby,cc-by,CC-BY,https://freesound.org/people/Jovica/sounds/2264/,Percussion/Drums,Percussion/Drums,Freesound-CC-BY-Percussion/Drums,"[""Freesound-CC-BY-Percussion/Drums""]",5,1.0000,high,"{""Percussion/Drums"": [""drum"", ""drums"", ""loop""]}"
freesound,2267,2267,90 bpm ATTACK LOOP 3 hihats mastered 16 bit.wav,90 bpm ATTACK LOOP 3 hihats mastered 16 bit,Jovica,ccby,cc-by,CC-BY,https://freesound.org/people/Jovica/sounds/2267/,Percussion/Drums,Percussion/Drums,Freesound-CC-BY-Percussion/Drums,"[""Freesound-CC-BY-Percussion/Drums""]",4,1.0000,high,"{""Percussion/Drums"": [""hihat"", ""loop""]}"
freesound,2268,2268,90 bpm ATTACK LOOP 3 kick element 1 mastered 16 bit.wav,90 bpm ATTACK LOOP 3 kick element 1 mastered 16 bit,Jovica,ccby,cc-by,CC-BY,https://freesound.org/people/Jovica/sounds/2268/,Percussion/Drums,Percussion/Drums,Freesound-CC-BY-Percussion/Drums,"[""Freesound-CC-BY-Percussion/Drums""]",4,1.0000,high,"{""Percussion/Drums"": [""kick"", ""loop""]}"
freesound,2269,2269,90 bpm ATTACK LOOP 3 kick element 2 mastered 16 bit.wav,90 bpm ATTACK LOOP 3 kick element 2 mastered 16 bit,Jovica,ccby,cc-by,CC-BY,https://freesound.org/people/Jovica/sounds/2269/,Percussion/Drums,Percussion/Drums,Freesound-CC-BY-Percussion/Drums,"[""Freesound-CC-BY-Percussion/Drums""]",4,1.0000,high,"{""Percussion/Drums"": [""kick"", ""loop""]}"
freesound,2270,2270,90 bpm ATTACK LOOP 3 kick element 3 mastered 16 bit.wav,90 bpm ATTACK LOOP 3 kick element 3 mastered 16 bit,Jovica,ccby,cc-by,CC-BY,https://freesound.org/people/Jovica/sounds/2270/,Percussion/Drums,Percussion/Drums,Freesound-CC-BY-Percussion/Drums,"[""Freesound-CC-BY-Percussion/Drums""]",4,1.0000,high,"{""Percussion/Drums"": [""kick"", ""loop""]}"
freesound,2272,2272,90 bpm ATTACK LOOP 3 sine tom melody 1 mastered 16 bit.wav,90 bpm ATTACK LOOP 3 sine tom melody 1 mastered 16 bit,Jovica,ccby,cc-by,CC-BY,https://freesound.org/people/Jovica/sounds/2272/,Percussion/Drums,Percussion/Drums,Freesound-CC-BY-Percussion/Drums,"[""Freesound-CC-BY-Percussion/Drums""]",4,1.0000,high,"{""Percussion/Drums"": [""loop"", ""tom""]}"
freesound,2273,2273,90 bpm ATTACK LOOP 3 sine tom melody 2 mastered 16 bit.wav,90 bpm ATTACK LOOP 3 sine tom melody 2 mastered 16 bit,Jovica,ccby,cc-by,CC-BY,https://freesound.org/people/Jovica/sounds/2273/,Percussion/Drums,Percussion/Drums,Freesound-CC-BY-Percussion/Drums,"[""Freesound-CC-BY-Percussion/Drums""]",4,1.0000,high,"{""Percussion/Drums"": [""loop"", ""tom""]}"
